日期,排名,极度推荐,极度推荐排名,V1.50极度分,V1.50优选分,V1.50当前强度,V1.50结构确认,V1.50修复质量,V1.50启动质量,V1.50量价协同,V1.50超热扣分,涨停基因分,原极度推荐分,代码,名称,推荐度,今日涨跌%,相对强度,RSI14,KDJ状态,20日涨幅%,60日高点回撤%,关注理由
2026-08-26,1,极度推荐,1,81.7,81.2,68.9,70.0,90.0,93.1,95.0,0.0,63.0,79.0,600192,长城电工,80.1,1.14,55.9,52.61,多头,9.38,-14.85,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约9.4%，近5日约4.9%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.45，前期有明显缩量，而当前量比约1.09，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有11次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-08-26,2,极度推荐,2,80.6,79.2,67.1,85.0,90.0,75.1,95.0,0.0,72.9,81.0,000595,新能股份,81.4,2.94,62.7,52.48,多头,11.01,-23.03,当前仍站在20日线之上，20日线相对60日线高约1.3%，但短线均线结构还不算特别强。近20日上涨约11.0%，短线约8.8%，已经偏热，继续追价的性价比下降。5/20成交量比约0.53，前期有明显缩量，而当前量比约1.44，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。
2026-08-26,3,极度推荐,3,78.5,77.9,67.1,70.0,80.0,87.1,100.0,0.0,54.2,77.3,600676,久事动娱,66.3,2.42,54.0,51.03,多头,0.59,-9.96,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约0.6%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.57，前期有明显缩量，而当前量比约1.31，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-08-26,4,极度推荐,4,78.1,77.3,64.4,70.0,80.0,93.1,95.0,0.0,59.9,78.1,002607,中公教育,60.1,1.46,50.6,52.01,多头,0.0,-11.49,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约0.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.46，前期有明显缩量，而当前量比约1.00，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-08-27,1,极度推荐,1,87.6,89.3,73.6,85.0,100.0,95.1,95.0,0.0,54.4,81.6,002197,证通电子,81.0,2.49,61.9,55.16,多头,14.73,-8.6,当前仍站在20日线之上，20日线相对60日线高约8.9%，但短线均线结构还不算特别强。近20日上涨约14.7%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.51，前期有明显缩量，而当前量比约1.18，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-08-27,2,极度推荐,2,83.2,81.6,65.0,95.0,83.0,89.7,100.0,0.0,49.8,78.2,603980,吉华集团,55.9,1.19,51.9,53.91,多头,7.74,-8.21,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约7.7%，近5日约1.3%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.75，前期有明显缩量，而当前量比约1.36，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-08-27,3,极度推荐,3,82.8,81.9,70.0,85.0,90.0,88.1,83.0,0.0,72.0,81.8,000037,深南电A,98.8,1.86,57.3,53.75,多头,9.44,-16.42,当前仍站在20日线之上，20日线相对60日线高约1.4%，但短线均线结构还不算特别强。近20日上涨约9.4%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.60，量能处于收缩状态，但当前量比约1.95，启动力度还需要继续观察。过去250个交易日有11次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2026-08-27,4,极度推荐,4,77.1,76.2,59.0,57.0,93.0,90.1,100.0,0.0,52.9,81.0,601933,永辉超市,47.8,1.29,44.8,47.69,多头,-3.1,-13.3,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-3.1%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.82，量能处于收缩状态，但当前量比约1.10，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2026-08-27,5,极度推荐,5,76.9,75.9,63.8,57.0,93.0,80.7,95.0,0.0,69.1,81.5,600986,浙文互联,67.7,1.41,50.1,45.55,多头,1.41,-16.36,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约1.4%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.39，前期有明显缩量，而当前量比约1.05，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有11次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。
2026-08-28,1,极度推荐,1,88.6,87.0,66.2,95.0,100.0,100.0,100.0,0.0,75.4,86.8,600617,国新能源,74.5,2.06,53.6,56.92,多头,7.12,-15.61,当前仍站在20日线之上，20日线相对60日线高约9.3%，但短线均线结构还不算特别强。近20日上涨约7.1%，近5日约3.0%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.69，前期有明显缩量，而当前量比约1.22，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有11次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
