推荐日,推荐排名,推荐度,代码,名称,推荐日收盘,T+1涨跌%,T+2累计%,T+3累计%,T+4累计%,T+5累计%,5日最高涨幅%,5日最低涨幅%,5日结果,首个+3%日,5日最佳收盘T+N,启动评分,MACD收口评分,MACD阶段,MACD窗口阶段,MACD开口收缩%,MACD收口3日%,MACD收口5日%,MACD收口效率,MACD标准化开口,MACD缠结,严格匹配度,最新价,所属行业,主题标签,流通市值(亿),参考总市值(亿),市值状态,市值数据源,筹码结构,收盘交易状态,激进买点,保守买点,激进止损,保守止损,激进止盈,保守止盈,关注理由,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2025-07-14,1,56.9,603839,安正时尚,7.21,-3.19,-1.11,-1.53,-1.53,0.14,0.42,-4.58,完整5日,,T+5,100.0,100.0,死叉强收口｜启动临界窗口,3,41.37,55.28,60.7,,0.0604,否,70.0,7.21,暂无同日行业数据,未分类,,,未取得市值,,65/100｜筹码结构较好,接近阶段平台高点，重点观察放量突破是否成立,7.12~7.18（承接/回踩）,7.40~7.43（突破确认）,6.98,7.28,7.38 / 7.51,7.59 / 7.72,当前仍站在20日线之上，20日线相对60日线高约4.3%，但短线均线结构还不算特别强。近20日上涨约-0.4%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.82，量能处于收缩状态，但当前量比约1.26，启动力度还需要继续观察。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.4%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约41.4%，近4日持续修复，符合本策略重点关注的死叉衰竭形态。,是,7.1,T+5收盘退出,5,7.22,1.49,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.97,-3.1,5日内未触发关键退出信号,0.14
2025-07-21,1,69.9,603017,中衡设计,9.74,0.62,-1.85,-0.92,-1.54,-1.44,1.54,-2.26,完整5日,,T+1,95.0,100.0,死叉强收口｜启动临界窗口,3,50.67,56.98,33.01,,0.1186,否,67.0,9.74,暂无同日行业数据,未分类,,,未取得市值,,56/100｜筹码结构中性,接近阶段平台高点，重点观察放量突破是否成立,9.10~9.21（承接/回踩）,10.00~10.04（突破确认）,8.96,9.85,9.97 / 9.97,10.24 / 10.40,当前仍站在20日线之上，20日线相对60日线高约0.9%，但短线均线结构还不算特别强。近20日上涨约5.3%，近5日约1.7%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.89，量能处于收缩状态，但当前量比约3.22，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.3%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约50.7%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,9.81,T+5收盘退出,5,9.6,-2.34,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.82,-2.96,5日内未触发关键退出信号,-1.44
2025-07-21,2,46.7,603128,华贸物流,6.28,0.32,3.18,5.73,5.1,3.98,8.28,-0.8,完整5日,T+2,T+3,90.0,86.0,死叉强收口｜启动临界窗口,3,32.8,46.29,-9.78,,0.1352,否,59.0,6.28,暂无同日行业数据,交通运输,,,未取得市值,,60/100｜筹码结构中性,接近阶段平台高点，重点观察放量突破是否成立,5.91~5.97（承接/回踩）,6.41~6.43（突破确认）,5.83,6.32,6.39 / 6.39,6.55 / 6.65,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约2.4%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约0.95，因此“底部缩量”的特征并不突出。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.8%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约32.8%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,6.28,移动止盈退出,2,6.48,2.89,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,7.32,-0.8,2025-07-23达到第一止盈：卖出50%；2025-07-23从峰值回撤约2.8%后退出,3.98
2025-07-28,1,77.2,000892,欢瑞世纪,5.01,-3.19,-1.2,-5.19,-6.39,-7.58,0.0,-9.58,完整5日,,T+2,100.0,100.0,死叉强收口｜启动临界窗口,3,32.99,51.1,42.42,,0.1066,否,89.0,5.01,暂无同日行业数据,未分类,,,未取得市值,,59/100｜筹码结构中性,已经偏热，优先等回踩，不适合为了信号强行追价,4.73~4.79（承接/回踩）,6.28~6.35（突破确认）,4.54,6.00,6.26 / 6.26,6.73 / 7.02,当前仍站在20日线之上，20日线相对60日线高约15.7%，但短线均线结构还不算特别强。近20日上涨约3.5%，短线约8.2%，已经偏热，继续追价的性价比下降。近期5/20成交量比约0.81，量能处于收缩状态，但当前量比约1.90，启动力度还需要继续观察。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.3%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约33.0%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,4.92,T+5收盘退出,5,4.63,-6.09,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.83,-7.93,2025-07-31触发软止损预警；2025-08-01触发软止损预警；2025-08-04触发软止损预警,-7.58
2025-08-05,1,62.6,002909,集泰股份,6.29,2.86,1.91,2.38,3.34,3.82,8.11,-0.16,完整5日,T+4,T+5,100.0,90.0,死叉强收口｜启动临界窗口,3,68.33,75.12,24.17,,0.0324,否,78.0,6.29,暂无同日行业数据,未分类,,,未取得市值,,65/100｜筹码结构较好,价格仍在20日线上方，但结构优势有限，等待进一步确认,6.21~6.24（承接/回踩）,6.59~6.62（突破确认）,6.16,6.50,6.57 / 6.57,6.73 / 6.83,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约0.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.58，前期有明显缩量，而当前量比约1.09，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.3%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约68.3%，近2日持续修复，符合本策略重点关注的死叉衰竭形态。,是,6.31,移动止盈退出,2,6.41,2.09,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,7.77,-0.48,2025-08-06盘中达到第一止盈，但T+1不可卖；2025-08-07达到第一止盈：卖出50%；2025-08-07从峰值回撤约2.8%后退出,3.82
2025-08-06,1,64.1,002342,巨力索具,7.45,-2.68,0.81,0.27,-1.07,1.21,5.77,-3.36,完整5日,,T+5,97.0,90.0,死叉强收口｜启动临界窗口,3,29.35,40.85,17.38,,0.1825,否,78.0,7.45,暂无同日行业数据,未分类,,,未取得市值,,66/100｜筹码结构较好,价格仍在20日线上方，但结构优势有限，等待进一步确认,7.09~7.17（承接/回踩）,8.30~8.37（突破确认）,7.02,8.06,8.28 / 8.28,8.69 / 8.95,当前仍站在20日线之上，20日线相对60日线高约14.0%，但短线均线结构还不算特别强。近20日上涨约-7.3%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.68，前期有明显缩量，而当前量比约1.61，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.0%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约29.3%，近2日持续修复，符合本策略重点关注的死叉衰竭形态。,是,7.45,移动止盈退出,2,7.51,1.7,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,5.77,-3.36,2025-08-08达到第一止盈：卖出50%；2025-08-08从峰值回撤约2.8%后退出,1.21
2025-08-07,1,72.8,600770,综艺股份,5.61,-1.07,0.89,1.6,2.5,-0.71,7.49,-2.67,完整5日,,T+4,100.0,100.0,死叉强收口｜启动临界窗口,3,58.23,64.02,56.68,,0.0651,否,74.0,5.61,暂无同日行业数据,未分类,,,未取得市值,,58/100｜筹码结构中性,价格仍在20日线上方，但结构优势有限，等待进一步确认,5.46~5.50（承接/回踩）,6.00~6.03（突破确认）,5.40,5.89,5.98 / 5.98,6.17 / 6.29,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约4.3%，近5日约4.1%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.60，量能处于收缩状态，但当前量比约2.94，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.3%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约58.2%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,5.56,移动止盈退出,3,5.7,2.56,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,8.45,-1.8,2025-08-08盘中达到第一止盈，但T+1不可卖；2025-08-11达到第一止盈：卖出50%；2025-08-12从峰值回撤约3.5%后退出,-0.71
2025-08-08,1,56.0,600800,渤海化学,4.2,0.71,0.48,1.19,-0.48,0.24,4.05,-4.29,完整5日,,T+3,79.0,100.0,死叉强收口｜启动临界窗口,3,65.65,75.11,80.36,,0.0606,否,54.0,4.2,暂无同日行业数据,未分类,,,未取得市值,,51/100｜筹码结构中性,价格仍在20日线上方，但结构优势有限，等待进一步确认,4.09~4.09（承接/回踩）,4.43~4.46（突破确认）,4.03,4.33,4.42 / 4.42,4.59 / 4.70,当前仍站在20日线之上，20日线相对60日线高约1.0%，但短线均线结构还不算特别强。近20日上涨约-3.4%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约1.00，因此“底部缩量”的特征并不突出。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.7%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约65.6%，近4日持续修复，符合本策略重点关注的死叉衰竭形态。,是,4.13,移动止盈退出,2,4.22,2.39,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,4.6,-2.66,2025-08-11盘中达到第一止盈，但T+1不可卖；2025-08-12达到第一止盈：卖出50%；2025-08-12从峰值回撤约2.2%后退出,0.24
2025-08-11,1,92.4,601279,英利汽车,4.18,0.0,0.96,-1.91,0.24,0.72,1.44,-2.63,完整5日,,T+2,100.0,100.0,死叉强收口｜启动临界窗口,3,49.02,60.39,73.16,,0.1053,否,91.0,4.18,暂无同日行业数据,未分类,,,未取得市值,,63/100｜筹码结构较好,中期趋势仍在，但短线位置一般，更适合等待回踩确认,4.12~4.12（承接/回踩）,5.21~5.23（突破确认）,4.08,5.15,5.19 / 5.19,5.30 / 5.37,当前仍站在20日线之上，20日线相对60日线高约5.5%，但短线均线结构还不算特别强。近20日上涨约5.6%，近5日约3.0%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.40，前期有明显缩量，而当前量比约1.72，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约49.0%，近4日持续修复，符合本策略重点关注的死叉衰竭形态。,是,4.17,T+5收盘退出,5,4.21,0.76,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.68,-2.4,5日内未触发关键退出信号,0.72
2025-08-11,2,57.6,601218,吉鑫科技,4.34,-1.15,-0.92,-2.3,-0.92,-0.69,0.0,-3.0,完整5日,,T+5,100.0,100.0,死叉强收口｜启动临界窗口,3,61.11,81.2,88.12,,0.0616,否,78.0,4.34,暂无同日行业数据,未分类,,,未取得市值,,66/100｜筹码结构较好,接近阶段平台高点，重点观察放量突破是否成立,4.20~4.26（承接/回踩）,4.49~4.50（突破确认）,4.16,4.43,4.47 / 4.47,4.58 / 4.64,当前仍站在20日线之上，20日线相对60日线高约5.8%，但短线均线结构还不算特别强。近20日上涨约1.2%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.86，量能处于收缩状态，但当前量比约1.19，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.7%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约61.1%，近4日持续修复，符合本策略重点关注的死叉衰竭形态。,是,4.33,T+5收盘退出,5,4.31,-0.66,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.23,-2.77,5日内未触发关键退出信号,-0.69
2025-08-12,1,62.4,600939,重庆建工,3.75,-1.6,-3.73,-3.2,-1.07,-1.87,3.73,-4.0,完整5日,,T+4,91.1,90.0,死叉强收口｜启动临界窗口,3,25.24,38.26,25.25,,0.1889,否,78.0,3.75,暂无同日行业数据,未分类,,,未取得市值,,65/100｜筹码结构较好,价格仍在20日线上方，但结构优势有限，等待进一步确认,3.68~3.70（承接/回踩）,4.19~4.22（突破确认）,3.62,4.09,4.18 / 4.18,4.35 / 4.46,当前仍站在20日线之上，20日线相对60日线高约8.4%，但短线均线结构还不算特别强。近20日上涨约1.9%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.55，前期有明显缩量，而当前量比约1.33，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约25.2%，近2日持续修复，符合本策略重点关注的死叉衰竭形态。,是,3.76,移动止盈退出,4,3.71,0.64,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,3.46,-4.26,2025-08-14触发软止损预警；2025-08-15触发软止损预警；2025-08-18达到第一止盈：卖出50%；2025-08-18从峰值回撤约2.2%后退出,-1.87
2025-08-12,2,50.0,002251,步步高,4.83,0.62,-1.66,-0.62,-0.41,-0.62,4.76,-2.69,完整5日,,T+1,94.0,94.0,死叉强收口｜启动临界窗口,3,27.87,45.89,23.56,,0.0888,否,72.0,4.83,暂无同日行业数据,未分类,,,未取得市值,,66/100｜筹码结构较好,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.86~4.86（承接/回踩）,5.44~5.48（突破确认）,4.75,5.26,5.42 / 5.42,5.72 / 5.91,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-1.2%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.67，前期有明显缩量，而当前量比约1.14，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.0%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约27.9%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,5.01,T+5收盘退出,5,4.8,-4.39,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.0,-6.19,2025-08-14触发软止损预警；2025-08-15触发软止损预警；2025-08-18触发软止损预警；2025-08-19触发软止损预警,-0.62
2025-08-18,1,74.8,600551,时代出版,9.38,-0.75,-1.39,-0.11,-1.07,-1.07,2.13,-2.45,完整5日,,T+3,100.0,100.0,死叉强收口｜启动临界窗口,3,57.91,72.91,72.76,,0.0366,否,90.0,9.38,暂无同日行业数据,未分类,,,未取得市值,,62/100｜筹码结构较好,中期趋势仍在，但短线位置一般，更适合等待回踩确认,8.79~8.89（承接/回踩）,10.29~10.35（突破确认）,8.70,10.07,10.26 / 10.26,10.64 / 10.87,当前仍站在20日线之上，20日线相对60日线高约1.4%，但短线均线结构还不算特别强。近20日上涨约3.5%，近5日约2.6%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.72，前期有明显缩量，而当前量比约1.23，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.5%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约57.9%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,9.38,T+5收盘退出,5,9.28,-1.27,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.13,-2.45,5日内未触发关键退出信号,-1.07
2025-08-20,1,56.2,603316,诚邦股份,8.73,4.47,6.87,8.02,3.55,-1.72,16.95,-1.72,完整5日,T+1,T+3,100.0,100.0,死叉强收口｜启动临界窗口,3,47.01,66.36,34.51,,0.0816,否,65.0,8.73,暂无同日行业数据,未分类,,,未取得市值,,62/100｜筹码结构较好,接近阶段平台高点，重点观察放量突破是否成立,8.60~8.67（承接/回踩）,8.96~9.00（突破确认）,8.45,8.81,8.93 / 9.08,9.19 / 9.35,当前仍站在20日线之上，20日线相对60日线高约4.4%，但短线均线结构还不算特别强。近20日上涨约1.6%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约0.94，因此“底部缩量”的特征并不突出。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.8%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约47.0%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,8.8,强势止盈/清仓,2,9.33,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,8.86,-0.68,2025-08-21盘中达到第一止盈，但T+1不可卖；2025-08-22达到第一止盈：卖出50%；达到第二止盈,-1.72
2025-08-21,1,98.9,603839,安正时尚,7.98,-2.01,-2.63,-1.5,-2.01,-3.13,0.25,-6.52,完整5日,,T+3,100.0,100.0,死叉强收口｜启动临界窗口,3,48.45,66.57,64.74,,0.0973,否,100.0,7.98,暂无同日行业数据,未分类,,,未取得市值,,65/100｜筹码结构较好,中期趋势仍在，但短线位置一般，更适合等待回踩确认,7.77~7.77（承接/回踩）,10.41~10.46（突破确认）,7.65,10.21,10.38 / 10.38,10.73 / 10.94,当前仍站在20日线之上，20日线相对60日线高约5.7%，但短线均线结构还不算特别强。近20日上涨约12.4%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.64，量能处于收缩状态，但当前量比约2.04，启动力度还需要继续观察。过去250个交易日有10次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.1%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约48.5%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,7.94,T+5收盘退出,5,7.73,-2.84,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.76,-6.05,2025-08-28触发软止损预警,-3.13
2025-08-21,2,73.4,600828,茂业商业,4.22,-1.42,-1.42,-1.18,-4.03,-3.32,-0.24,-5.69,完整5日,,T+3,100.0,100.0,死叉强收口｜启动临界窗口,3,30.11,43.1,32.19,,0.1549,否,76.0,4.22,暂无同日行业数据,未分类,,,未取得市值,,66/100｜筹码结构较好,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.19~4.19（承接/回踩）,5.15~5.18（突破确认）,4.11,5.02,5.13 / 5.13,5.35 / 5.49,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约5.0%，近5日约4.5%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.53，前期有明显缩量，而当前量比约1.72，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约30.1%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,4.19,T+5收盘退出,5,4.08,-2.83,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.48,-5.01,2025-08-27触发软止损预警；2025-08-28触发软止损预警,-3.32
2025-08-22,1,56.2,603879,永悦科技,7.18,-0.14,0.0,-3.48,-4.46,-5.29,0.97,-6.69,完整5日,,T+2,100.0,100.0,死叉强收口｜启动临界窗口,3,47.05,72.84,71.32,,0.104,否,74.0,7.18,暂无同日行业数据,未分类,,,未取得市值,,61/100｜筹码结构较好,价格仍在20日线上方，但结构优势有限，等待进一步确认,6.99~6.99（承接/回踩）,7.87~7.91（突破确认）,6.90,7.72,7.85 / 7.85,8.12 / 8.28,当前仍站在20日线之上，20日线相对60日线高约5.3%，但短线均线结构还不算特别强。近20日上涨约4.1%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.81，量能处于收缩状态，但当前量比约1.19，启动力度还需要继续观察。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.7%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约47.0%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,7.18,T+5收盘退出,5,6.8,-5.49,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.97,-6.69,2025-08-27触发软止损预警；2025-08-28触发软止损预警；2025-08-29触发软止损预警,-5.29
2025-08-25,1,72.8,603333,福华尚纬,8.27,-0.6,-3.51,-1.69,-3.39,6.29,6.29,-4.47,完整5日,T+5,T+5,97.0,100.0,死叉强收口｜启动临界窗口,3,39.61,57.83,49.92,,0.067,否,80.0,8.27,暂无同日行业数据,未分类,,,未取得市值,,57/100｜筹码结构中性,中期趋势仍在，但短线位置一般，更适合等待回踩确认,8.13~8.19（承接/回踩）,8.79~8.83（突破确认）,8.04,8.64,8.76 / 8.76,9.02 / 9.18,当前仍站在20日线之上，20日线相对60日线高约0.3%，但短线均线结构还不算特别强。近20日上涨约3.4%，近5日约1.8%，上涨速度相对温和，没有明显进入加速末端。近期量能没有明显收缩，5/20成交量比约0.93，因此“底部缩量”的特征并不突出。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.5%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约39.6%，近2日持续修复，符合本策略重点关注的死叉衰竭形态。,是,8.25,强势止盈/清仓,5,8.75,4.3,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,6.55,-4.24,2025-08-27触发软止损预警；2025-08-28触发软止损预警；2025-08-29触发软止损预警；2025-09-01达到第一止盈：卖出50%；达到第二止盈,6.29
2025-09-08,1,68.6,601279,英利汽车,4.28,1.4,1.87,1.64,0.23,2.57,5.14,-0.7,完整5日,,T+5,100.0,100.0,死叉强收口｜启动临界窗口,3,59.09,69.53,64.26,,0.054,否,85.0,4.28,暂无同日行业数据,未分类,,,未取得市值,,60/100｜筹码结构较好,接近阶段平台高点，重点观察放量突破是否成立,4.16~4.19（承接/回踩）,4.36~4.39（突破确认）,4.11,4.27,4.35 / 4.46,4.51 / 4.61,当前仍站在20日线之上，20日线相对60日线高约3.3%，但短线均线结构还不算特别强。近20日上涨约2.4%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约0.95，因此“底部缩量”的特征并不突出。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约59.1%，近2日持续修复，符合本策略重点关注的死叉衰竭形态。,是,4.26,移动止盈退出,4,4.29,1.65,3.0,6.0,-3.0,-6.0,50.0,T+2,T+4,3.52,-0.23,2025-09-10达到第一止盈：卖出50%；2025-09-12从峰值回撤约2.2%后退出,2.57
2025-09-08,2,65.4,603086,先达股份,9.74,-2.67,-2.77,-3.29,-4.0,-4.62,0.0,-4.93,完整5日,,T+1,97.0,82.0,死叉强收口｜启动临界窗口,3,44.34,50.67,12.22,,0.1291,否,75.0,9.74,暂无同日行业数据,未分类,,,未取得市值,,62/100｜筹码结构较好,价格仍在20日线上方，但结构优势有限，等待进一步确认,9.20~9.30（承接/回踩）,10.90~10.96（突破确认）,8.97,10.68,10.87 / 10.87,11.25 / 11.49,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-0.1%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.59，前期有明显缩量，而当前量比约1.31，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.4%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约44.3%，近2日持续修复，符合本策略重点关注的死叉衰竭形态。,是,9.74,T+5收盘退出,5,9.29,-4.82,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.0,-4.93,2025-09-10触发软止损预警；2025-09-11触发软止损预警；2025-09-12触发软止损预警；2025-09-15触发软止损预警,-4.62
2025-09-08,3,62.0,605500,森林包装,9.88,4.25,3.74,4.96,2.13,-0.81,8.1,-1.01,完整5日,T+1,T+3,100.0,100.0,死叉强收口｜启动临界窗口,3,47.33,59.11,41.27,,0.0778,否,71.0,9.88,暂无同日行业数据,未分类,,,未取得市值,,64/100｜筹码结构较好,价格仍在20日线上方，但结构优势有限，等待进一步确认,9.75~9.75（承接/回踩）,10.39~10.44（突破确认）,9.64,10.20,10.36 / 10.36,10.70 / 10.90,当前仍站在20日线之上，20日线相对60日线高约0.3%，但短线均线结构还不算特别强。近20日上涨约-0.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.65，前期有明显缩量，而当前量比约1.15，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.9%。MACD仍处死叉，但DEA-DIF开口较前一日收缩约47.3%，近3日持续修复，符合本策略重点关注的死叉衰竭形态。,是,9.87,强势止盈/清仓,3,10.46,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,8.21,-0.81,2025-09-09盘中达到第一止盈，但T+1不可卖；2025-09-10达到第一止盈：卖出50%；达到第二止盈,-0.81
